,CarData Element,Description,Category,Name,,,Technical descriptor,Data type,Typical value range,Unit,Streamable,,,,,
14,Status of hood,This value indicates whether the vehicle's hood was closed at the time of data collection (CLOSED) or open (OPEN).,Hood,state,,,vehicle.​body.​hood.​isOpen,boolean,"CLOSED, OPEN, INVALID",-,,,,"""vehicle.​body.​hood.​isOpen"": ""Hood state"",",,"""vehicle.​body.​hood.​isOpen"": ""Hood state"","
12,Status of lights,This value indicates whether the vehicle light was on or off at the time of data collection or whether the status is unknown.,Vehicle,Lights state,,,vehicle.​body.​lights.​isRunningOn,boolean,"ASN_isFalse, ASN_isTrue, ASN_isUnknown",-,,,,"""vehicle.​body.​lights.​isRunningOn"": ""Vehicle Lights state"",",,"""vehicle.​body.​lights.​isRunningOn"": ""Vehicle Lights state"","
15,Trunk door open status,Trunk door state.,Tailgate,door state,Trunk,door state,vehicle.​body.​trunk.​door.​isOpen,boolean,"true, false",-,,,,"""vehicle.​body.​trunk.​door.​isOpen"": ""Tailgate door state"",",,"""vehicle.​body.​trunk.​door.​isOpen"": ""Tailgate door state"","
16,Trunk locked status,Indicated weather the trunk is locked or not.,Tailgate,lock,Trunk,lock,vehicle.​body.​trunk.​isLocked,boolean,"true, false",-,,,,"""vehicle.​body.​trunk.​isLocked"": ""Tailgate lock"",",,"""vehicle.​body.​trunk.​isLocked"": ""Tailgate lock"","
17,Status of boot lid,"This value indicates whether the boot lid was open (OPEN), half-open (INTERMEDIATE) or closed (CLOSED) at the time of data collection.",Tailgate,state,Trunk,state,vehicle.​body.​trunk.​isOpen,boolean,"CLOSED, OPEN, INVALID",-,,,,"""vehicle.​body.​trunk.​isOpen"": ""Tailgate state"",",,"""vehicle.​body.​trunk.​isOpen"": ""Tailgate state"","
18,Trunk left door open,Left door of trunk state.,Tailgate,door state (left),Trunk,door state (left),vehicle.​body.​trunk.​left.​door.​isOpen,boolean,"true, false",-,,,,"""vehicle.​body.​trunk.​left.​door.​isOpen"": ""Tailgate door state (left)"",",,"""vehicle.​body.​trunk.​left.​door.​isOpen"": ""Tailgate door state (left)"","
19,Trunk lower door open,Lower door of trunk state.,Tailgate,door state (lower),Trunk,door state (lower),vehicle.​body.​trunk.​lower.​door.​isOpen,boolean,"true, false",-,,,,"""vehicle.​body.​trunk.​lower.​door.​isOpen"": ""Tailgate door state (lower)"",",,"""vehicle.​body.​trunk.​lower.​door.​isOpen"": ""Tailgate door state (lower)"","
20,Trunk right door open,Right door of trunk state.,Tailgate,door state (right),Trunk,door state (right),vehicle.​body.​trunk.​right.​door.​isOpen,boolean,"true, false",-,,,,"""vehicle.​body.​trunk.​right.​door.​isOpen"": ""Tailgate door state (right)"",",,"""vehicle.​body.​trunk.​right.​door.​isOpen"": ""Tailgate door state (right)"","
21,Trunk upper door open,Upper door of trunk state.,Tailgate,door state (upper),Trunk,door state (upper),vehicle.​body.​trunk.​upper.​door.​isOpen,boolean,"true, false",-,,,,"""vehicle.​body.​trunk.​upper.​door.​isOpen"": ""Tailgate door state (upper)"",",,"""vehicle.​body.​trunk.​upper.​door.​isOpen"": ""Tailgate door state (upper)"","
22,Rear window unlocking,This value indicates whether the rear window is unlocked (TRUE) or closed (FALSE).,Tailgate,rear window state,Trunk,rear window state,vehicle.​body.​trunk.​window.​isOpen,boolean,"CLOSED, OPEN, INVALID",-,,,,"""vehicle.​body.​trunk.​window.​isOpen"": ""Tailgate rear window state"",",,"""vehicle.​body.​trunk.​window.​isOpen"": ""Tailgate rear window state"","
24,Climate timer overwrite action,"Timer State/Action with states Activate (On), Deactivate (Off) and NoAction (Only used when communicating timer to the vehicle).",Climate Timer,Next Only  State,Climate Timers,Overwrite action state,vehicle.​cabin.​climate.​timers.​overwriteTimer.​action,string,"ACTIVATE, DEACTIVATE, NO_ACTION",-,,,,"""vehicle.​cabin.​climate.​timers.​overwriteTimer.​action"": ""Climate Timer Next Only  State"",",,"""vehicle.​cabin.​climate.​timers.​overwriteTimer.​action"": ""Climate Timer Next Only  State"","
25,Climate timer overwrite hour,Hour setting of climate timer as per vehicle-configured timezone.,Climate Timer,Next Only  (hour),Climate Timers,Overwrite hour,vehicle.​cabin.​climate.​timers.​overwriteTimer.​hour,uint8,0 - 23,h,,,,"""vehicle.​cabin.​climate.​timers.​overwriteTimer.​hour"": ""Climate Timer Next Only  (hour)"",",,"""vehicle.​cabin.​climate.​timers.​overwriteTimer.​hour"": ""Climate Timer Next Only  (hour)"","
26,Climate timer overwrite minute,Minute setting of climate timer as per vehicle-configured timezone.,Climate Timer,Next Only  (minute),Climate Timers,Overwrite minute,vehicle.​cabin.​climate.​timers.​overwriteTimer.​minute,uint8,0 - 59,min,,,,"""vehicle.​cabin.​climate.​timers.​overwriteTimer.​minute"": ""Climate Timer Next Only  (minute)"",",,"""vehicle.​cabin.​climate.​timers.​overwriteTimer.​minute"": ""Climate Timer Next Only  (minute)"","
27,Weekday timer 1 action,"Timer 1 State/Action with states Activate (On), Deactivate (Off) and NoAction (Only used when communicating timer 1 to the vehicle).",Climate Timer,Weekly 1  State,Climate Timers,Weekday timer 1 action state,vehicle.​cabin.​climate.​timers.​weekdaysTimer1.​action,string,"ACTIVATE, DEACTIVATE, NO_ACTION",-,,,,"""vehicle.​cabin.​climate.​timers.​weekdaysTimer1.​action"": ""Climate Timer Weekly 1  State"",",,"""vehicle.​cabin.​climate.​timers.​weekdaysTimer1.​action"": ""Climate Timer Weekly 1  State"","
28,Weekday timer 1 hour,Hour setting of climate timer 1 as per vehicle-configured timezone.,Climate Timer,Weekly 1  (hour),Climate Timers,Weekday timer 1 hour,vehicle.​cabin.​climate.​timers.​weekdaysTimer1.​hour,uint8,0 - 23,h,,,,"""vehicle.​cabin.​climate.​timers.​weekdaysTimer1.​hour"": ""Climate Timer Weekly 1  (hour)"",",,"""vehicle.​cabin.​climate.​timers.​weekdaysTimer1.​hour"": ""Climate Timer Weekly 1  (hour)"","
29,Weekday timer 1 minute,Minute setting of climate timer 1 as per vehicle-configured timezone.,Climate Timer,Weekly 1  (minute),Climate Timers,Weekday timer 1 minute,vehicle.​cabin.​climate.​timers.​weekdaysTimer1.​minute,uint8,0 - 59,min,,,,"""vehicle.​cabin.​climate.​timers.​weekdaysTimer1.​minute"": ""Climate Timer Weekly 1  (minute)"",",,"""vehicle.​cabin.​climate.​timers.​weekdaysTimer1.​minute"": ""Climate Timer Weekly 1  (minute)"","
30,Weekday timer 2 action,"Timer 2 State/Action with states Activate (On), Deactivate (Off) and NoAction (Only used when communicating timer 2 to the vehicle).",Climate Timer,Weekly 2  State,Climate Timers,Weekday timer 2 action state,vehicle.​cabin.​climate.​timers.​weekdaysTimer2.​action,string,"ACTIVATE, DEACTIVATE, NO_ACTION",-,,,,"""vehicle.​cabin.​climate.​timers.​weekdaysTimer2.​action"": ""Climate Timer Weekly 2  State"",",,"""vehicle.​cabin.​climate.​timers.​weekdaysTimer2.​action"": ""Climate Timer Weekly 2  State"","
31,Weekday timer 2 hour,Hour setting of climate timer 2 as per vehicle-configured timezone.,Climate Timer,Weekly 2  (hour),Climate Timers,Weekday timer 2 hour,vehicle.​cabin.​climate.​timers.​weekdaysTimer2.​hour,uint8,0 - 23,h,,,,"""vehicle.​cabin.​climate.​timers.​weekdaysTimer2.​hour"": ""Climate Timer Weekly 2  (hour)"",",,"""vehicle.​cabin.​climate.​timers.​weekdaysTimer2.​hour"": ""Climate Timer Weekly 2  (hour)"","
32,Weekday timer 2 minute,Minute setting of climate timer 2 as per vehicle-configured timezone.,Climate Timer,Weekly 2  (minute),Climate Timers,Weekday timer 2 minute,vehicle.​cabin.​climate.​timers.​weekdaysTimer2.​minute,uint8,0 - 59,min,,,,"""vehicle.​cabin.​climate.​timers.​weekdaysTimer2.​minute"": ""Climate Timer Weekly 2  (minute)"",",,"""vehicle.​cabin.​climate.​timers.​weekdaysTimer2.​minute"": ""Climate Timer Weekly 2  (minute)"","
34,Convertible roof status,"Convertible Roof Retractable State. BMW Mini vehicles have the additionally option to only open the folding roof. This signal represents the Mini folding roof state. It should be read together with the convertible roof state as well, see Vehicle.Cabin.Convertible.RoofStatus.",Convertible,roof retractable state,,,vehicle.​cabin.​convertible.​roofRetractableStatus,string,-,-,,,,"""vehicle.​cabin.​convertible.​roofRetractableStatus"": ""Convertible roof retractable state"",",,"""vehicle.​cabin.​convertible.​roofRetractableStatus"": ""Convertible roof retractable state"","
35,Status of convertible roof,"Indicates the current status of the convertible roof at the time of data collection, e.g. whether it was closed (CLOSED), open (OPEN) or – in an emergency – locked (EMERGENCYLOCKED). The following additional status values are possible: CLOSEDSECURED = convertible roof closed, vehicle secured OPENSECURED = convertible roof open, vehicle secured HARDTOPMOUNTED = hard top mounted and closed (removable hard top) INTERMEDIATEPOSITION = convertible roof in intermediate position LOADINGPOSITION = roof is in a position that allows for easy loading of the boot LOADINGPOSITIONIMMEDIATE = roof is in a position that allows for easy loading of the boot",Convertible,roof overall state,,,vehicle.​cabin.​convertible.​roofStatus,string,"CLOSEDSECURED, OPENSECURED",-,,,,"""vehicle.​cabin.​convertible.​roofStatus"": ""Convertible roof overall state"",",,"""vehicle.​cabin.​convertible.​roofStatus"": ""Convertible roof overall state"","
37,Status of doors,This indicates whether the vehicle's doors were locked (LOCKED) or unlocked (UNLOCKED) at the time of data collection. Other possible values are: SELECTIVELOCKED = vehicle locked with the exception of the left front door (state after a remote service door unlock was first performed) SECURED = vehicle has been secured = all doors locked and alarm system activated,Doors,lock,,,vehicle.​cabin.​door.​lock.​status,-,"SECURED, UNLOCKED, SELECTIVE-LOCKED, LOCKED, INVALID, UNKNOWN",-,,,,"""vehicle.​cabin.​door.​lock.​status"": ""Doors lock"",",,"""vehicle.​cabin.​door.​lock.​status"": ""Doors lock"","
38,Status of front left door,This value indicates whether the front left door was closed at the time of data collection (CLOSED) or open (OPEN).,Door,state (front driver),,,vehicle.​cabin.​door.​row1.​driver.​isOpen,boolean,"OPEN, CLOSED, INVALID, UNKNOWN",-,,,,"""vehicle.​cabin.​door.​row1.​driver.​isOpen"": ""Door state (front driver)"",",,"""vehicle.​cabin.​door.​row1.​driver.​isOpen"": ""Door state (front driver)"","
39,Front driver door position,Driver-side front door opening position in percent. 0% represents fully closed and 100% represents fully opened.,Door,position (front driver),,,vehicle.​cabin.​door.​row1.​driver.​position,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​door.​row1.​driver.​position"": ""Door position (front driver)"",",,"""vehicle.​cabin.​door.​row1.​driver.​position"": ""Door position (front driver)"","
40,Status of front right door,This value indicates whether the front right door was closed at the time of data collection (CLOSED) or open (OPEN).,Door,state (front passenger),,,vehicle.​cabin.​door.​row1.​passenger.​isOpen,boolean,"OPEN, CLOSED, INVALID, UNKNOWN",-,,,,"""vehicle.​cabin.​door.​row1.​passenger.​isOpen"": ""Door state (front passenger)"",",,"""vehicle.​cabin.​door.​row1.​passenger.​isOpen"": ""Door state (front passenger)"","
41,Front passenger door position,Passenger-side front door opening position in percent. 0% represents fully closed and 100% represents fully opened.,Door,position (front passenger),,,vehicle.​cabin.​door.​row1.​passenger.​position,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​door.​row1.​passenger.​position"": ""Door position (front passenger)"",",,"""vehicle.​cabin.​door.​row1.​passenger.​position"": ""Door position (front passenger)"","
42,Status of rear left door,This value indicates whether the rear left door was closed at the time of data collection (CLOSED) or open (OPEN).,Door,state (rear driver),,,vehicle.​cabin.​door.​row2.​driver.​isOpen,boolean,"OPEN, CLOSED, INVALID, UNKNOWN",-,,,,"""vehicle.​cabin.​door.​row2.​driver.​isOpen"": ""Door state (rear driver)"",",,"""vehicle.​cabin.​door.​row2.​driver.​isOpen"": ""Door state (rear driver)"","
43,Rear driver door position,Driver-side rear door opening position in percent. 0% represents fully closed and 100% represents fully opened.,Door,position (rear driver),,,vehicle.​cabin.​door.​row2.​driver.​position,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​door.​row2.​driver.​position"": ""Door position (rear driver)"",",,"""vehicle.​cabin.​door.​row2.​driver.​position"": ""Door position (rear driver)"","
44,Status of rear right door,This value indicates whether the rear right door was closed at the time of data collection (CLOSED) or open (OPEN).,Door,state (rear passenger),,,vehicle.​cabin.​door.​row2.​passenger.​isOpen,boolean,"OPEN, CLOSED, INVALID, UNKNOWN",-,,,,"""vehicle.​cabin.​door.​row2.​passenger.​isOpen"": ""Door state (rear passenger)"",",,"""vehicle.​cabin.​door.​row2.​passenger.​isOpen"": ""Door state (rear passenger)"","
45,Rear passenger door position,Passenger-side rear door opening position in percent. 0% represents fully closed and 100% represents fully opened.,Door,position (rear passenger),,,vehicle.​cabin.​door.​row2.​passenger.​position,uint8,0% to 100%,percent,,,,"""vehicle.​cabin.​door.​row2.​passenger.​position"": ""Door position (rear passenger)"",",,"""vehicle.​cabin.​door.​row2.​passenger.​position"": ""Door position (rear passenger)"","
46,Door status,"This value indicates the status of the doors, but is only sporadically recorded and transmitted. Note: It is recommended to use only the individual door status instead of this value.",Doors,overall state,,,vehicle.​cabin.​door.​status,string,oldDoorStatus: ASN_secured ASN_unlocked ASN_unknown ASN_selective-Locked newDoorStatus: ASN_locked ASN_unlocked ASN_selective-Locked ASN_unknown allDoorsLocked: ASN_isUnknown ASN_isTrue ASN_isFalse trunkLocked: ASN_isUnknown ASN_isTrue ASN_isFalse,-,,,,"""vehicle.​cabin.​door.​status"": ""Doors overall state"",",,"""vehicle.​cabin.​door.​status"": ""Doors overall state"","
48,Default front driver seat cooling,Default settings for front driver seat cooling/ventilation of the seat for climate preconditioning.,Preconditioning Default,Seat cooling (front driver),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row1.​driverSide.​cooling,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row1.​driverSide.​cooling"": ""Preconditioning Default Seat cooling (front driver)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row1.​driverSide.​cooling"": ""Preconditioning Default Seat cooling (front driver)"","
49,Default front driver seat heating,Default settings for front driver seat heating of the seat for climate preconditioning.,Preconditioning Default,Seat heating (front driver),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row1.​driverSide.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row1.​driverSide.​heating"": ""Preconditioning Default Seat heating (front driver)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row1.​driverSide.​heating"": ""Preconditioning Default Seat heating (front driver)"","
50,Default front passenger seat cooling,Default settings for front passenger seat cooling/ventilation of the seat for climate preconditioning.,Preconditioning Default,Seat cooling (front passenger),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row1.​passengerSide.​cooling,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row1.​passengerSide.​cooling"": ""Preconditioning Default Seat cooling (front passenger)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row1.​passengerSide.​cooling"": ""Preconditioning Default Seat cooling (front passenger)"","
51,Default front passenger seat heating,Default settings for front passenger seat heating of the seat for climate preconditioning.,Preconditioning Default,Seat heating (front passenger),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row1.​passengerSide.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row1.​passengerSide.​heating"": ""Preconditioning Default Seat heating (front passenger)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row1.​passengerSide.​heating"": ""Preconditioning Default Seat heating (front passenger)"","
52,Default rear driver seat cooling,Default settings for rear driver seat cooling/ventilation of the seat for climate preconditioning.,Preconditioning Default,Seat cooling (rear driver),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row2.​driverSide.​cooling,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row2.​driverSide.​cooling"": ""Preconditioning Default Seat cooling (rear driver)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row2.​driverSide.​cooling"": ""Preconditioning Default Seat cooling (rear driver)"","
53,Default rear driver seat heating,Default settings for rear driver seat heating of the seat for climate preconditioning.,Preconditioning Default,Seat heating (rear driver),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row2.​driverSide.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row2.​driverSide.​heating"": ""Preconditioning Default Seat heating (rear driver)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row2.​driverSide.​heating"": ""Preconditioning Default Seat heating (rear driver)"","
54,Default rear passenger seat cooling,Default settings for rear passenger seat cooling/ventilation of the seat for climate preconditioning.,Preconditioning Default,Seat cooling (rear passenger),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row2.​passengerSide.​cooling,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row2.​passengerSide.​cooling"": ""Preconditioning Default Seat cooling (rear passenger)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row2.​passengerSide.​cooling"": ""Preconditioning Default Seat cooling (rear passenger)"","
55,Default rear passenger seat heating,Default settings for rear passenger seat heating of the seat for climate preconditioning.,Preconditioning Default,Seat heating (rear passenger),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row2.​passengerSide.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row2.​passengerSide.​heating"": ""Preconditioning Default Seat heating (rear passenger)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row2.​passengerSide.​heating"": ""Preconditioning Default Seat heating (rear passenger)"","
56,Default third row driver seat cooling,Default settings for third row driver seat cooling/ventilation of the seat for climate preconditioning.,Preconditioning Default,Seat cooling (third row driver),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row3.​driverSide.​cooling,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row3.​driverSide.​cooling"": ""Preconditioning Default Seat cooling (third row driver)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row3.​driverSide.​cooling"": ""Preconditioning Default Seat cooling (third row driver)"","
57,Default third row driver seat heating,Default settings for third row driver seat heating of the seat for climate preconditioning.,Preconditioning Default,Seat heating (third row driver),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row3.​driverSide.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row3.​driverSide.​heating"": ""Preconditioning Default Seat heating (third row driver)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row3.​driverSide.​heating"": ""Preconditioning Default Seat heating (third row driver)"","
58,Default third row passenger seat cooling,Default settings for third row passenger seat cooling/ventilation of the seat for climate preconditioning.,Preconditioning Default,Seat cooling (third row passenger),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row3.​passengerSide.​cooling,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row3.​passengerSide.​cooling"": ""Preconditioning Default Seat cooling (third row passenger)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row3.​passengerSide.​cooling"": ""Preconditioning Default Seat cooling (third row passenger)"","
59,Default third row passenger seat heating,Default settings for third row passenger seat heating of the seat for climate preconditioning.,Preconditioning Default,Seat heating (third row passenger),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row3.​passengerSide.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row3.​passengerSide.​heating"": ""Preconditioning Default Seat heating (third row passenger)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​seat.​row3.​passengerSide.​heating"": ""Preconditioning Default Seat heating (third row passenger)"","
60,Default steering wheel heating,Default settings for steering wheel heating for climate preconditioning.,Preconditioning Default,Steering wheel heating,,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​steeringWheel.​heating,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​steeringWheel.​heating"": ""Preconditioning Default Steering wheel heating"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​steeringWheel.​heating"": ""Preconditioning Default Steering wheel heating"","
61,Target temperature,Default settings for target temperature for climate preconditioning.,Preconditioning Default,Target temperature,,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​targetTemperature,float,0 °C to 50 °C,celsius,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​targetTemperature"": ""Preconditioning Default Target temperature"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​defaultSettings.​targetTemperature"": ""Preconditioning Default Target temperature"","
63,Front driver seat direct cool,DirectStart settings for front driver seat cooling/ventilation of the seat for climate preconditioning.,Preconditioning Direct,Seat cooling (front driver),,,vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row1.​driverSide.​cooling,string,"OFF, ON, AUTOMATIC, NO_CHANGE",-,,,,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row1.​driverSide.​cooling"": ""Preconditioning Direct Seat cooling (front driver)"",",,"""vehicle.​cabin.​hvac.​preconditioning.​configuration.​directStartSettings.​seat.​row1.​driverSide.​cooling"": ""Preconditioning Direct Seat cooling (front driver)"","
